Actual Duration,Predicted Duration
0,136.2998314215365
122,156.7257341539662
695,176.62413135119277
295,216.94843128084904
67,192.4373480019276
52,140.385011968021
239,261.35791175699705
34,136.8273369567396
289,184.794492444169
169,208.7780701878728
134,240.9320090245601
68,112.31625367781817
861,205.22039517660596
145,216.94843128084904
55,172.5389508047083
18,108.23107313133369
125,257.2727312105126
0,136.2998314215365
3,148.55537306099723
35,240.9320090245601
194,265.44309230348154
213,136.8273369567396
384,148.55537306099723
260,140.385011968021
213,136.8273369567396
18,108.23107313133369
49,197.05003408362973
204,148.55537306099723
139,201.1352146301142
49,173.06645633991866
14,140.385011968021
14,196.52252854841208
161,269.5282728499733
49,120.4866147707944
384,148.55537306099723
160,164.89609524694242
200,176.62413135119277
637,164.36858971173206
40,144.47019251450547
68,124.57179531727888
194,265.44309230348154
112,172.5389508047083
0,136.2998314215365
237,184.794492444169
0,261.35791175699705
32,132.74215641025512
757,253.18755066402082
38,156.7257341539662
15,112.31625367781817
52,140.385011968021
267,221.03361182733352
0,136.2998314215365
695,176.62413135119277
223,216.94843128084904
17,200.60770909490384
10,236.84682847807562
0,136.2998314215365
355,144.47019251450547
68,112.31625367781817
5,164.89609524694242
7,173.06645633991866
3,156.7257341539662
55,140.385011968021
64,224.5912868386149
49,236.84682847807562
224,172.5389508047083
81,148.55537306099723
5,237.374334013286
22,201.1352146301142
21,204.69288964138832
169,229.20397292030975
480,205.22039517660596
41,104.14589258484921
0,136.2998314215365
16,208.7780701878728
134,240.9320090245601
1,240.9320090245601
34,144.47019251450547
731,265.44309230348154
237,168.4537702582238
15,112.31625367781817
0,136.2998314215365
28,201.1352146301142
95,128.65697586377064
384,148.55537306099723
3,205.22039517660596
7,204.69288964138832
591,265.44309230348154
25,188.8796729906535
994,192.4373480019276
0,136.2998314215365
10,236.84682847807562
267,136.8273369567396
695,176.62413135119277
1,240.9320090245601
44,196.52252854841208
771,236.84682847807562
175,233.28915346679423
34,144.47019251450547
41,228.6764673850994
270,204.69288964138832
39,197.05003408362973
183,224.5912868386149
5,164.89609524694242
260,140.385011968021
271,221.03361182733352
49,120.4866147707944
119,269.5282728499733
128,184.794492444169
182,180.70931189768453
40,144.47019251450547
139,269.5282728499733
7,173.06645633991866
134,240.9320090245601
0,136.2998314215365
337,257.2727312105126
134,240.9320090245601
213,136.8273369567396
3,156.7257341539662
37,160.81091470045794
289,208.7780701878728
29,128.12947032856027
305,257.2727312105126
38,156.7257341539662
255,265.44309230348154
139,128.12947032856027
65,120.4866147707944
480,205.22039517660596
68,112.31625367781817
14,120.4866147707944
41,200.60770909490384
358,152.6405536074817
11,112.31625367781817
0,136.2998314215365
31,152.6405536074817
166,128.65697586377064
200,172.5389508047083
50,265.44309230348154
0,136.2998314215365
65,140.91251750323136
108,132.74215641025512
0,136.2998314215365
384,148.55537306099723
0,136.2998314215365
267,136.8273369567396
61,136.8273369567396
0,136.2998314215365
783,249.10237011753634
12,212.86325073436456
11,269.5282728499733
147,132.74215641025512
1,156.7257341539662
74,148.55537306099723
359,156.7257341539662
0,136.2998314215365
206,208.7780701878728
77,164.36858971173206
253,212.86325073436456
11,124.57179531727888
43,205.22039517660596
0,136.2998314215365
0,136.2998314215365
69,132.21465087504475
289,208.7780701878728
267,140.91251750323136
147,136.2998314215365
392,225.11879237382527
166,128.65697586377064
175,128.12947032856027
57,265.44309230348154
